2016, 26302817
2012, 22612662
1999, 10319307
1976, 941943
2018, 29545854
2012, 22583063
2009, 00075320-100000000-03131
2002, 11854640
2005, 15625147
1977, 602722
1996, 8560996
2003, 14694970
2002, 12066084
1994, 7943077
1992, 
1995, 7778622
1984, 6585733
2016, 28076940
2006, 16885662
1998, 107285248. Language: English. Entry Date: 19981001. Revision Date: 20150820. Publication Type: Journal Article
2005, 16318611
2001, 11535953
2003, 12592272
2013, 23756271
1989, 2628313
2013, 
1989, 2608700
2013, 
2007, 17877293
1981, 6781613
2013, 24551660
2000, 
2015, 26284225
2018, CN-01651933
2008, 17889983
1999, 10483544
2003, 12755528
1999, 9932569
2011, 21484904
2014, 25305762
1996, 8694043
2017, 
2011, 
2005, 15762966
1978, 367426
2015, 26018581
1997, 9322632
2019, 30747025
1997, 9311179
1996, 8960988
1995, 7778636
2011, 21290140
1983, 6340813
2016, 26782646
2014, 23919802
1981, 7470413
1988, 3165111
2013, CN-00912287
1983, 6344644
1993, 
1991, 1677625
2012, 21959071
2001, 11641677
1979, 392623
2006, 17077234
2013, 104226229. Language: English. Entry Date: 20130920. Revision Date: 20150711. Publication Type: Journal Article
2013, 23530729
2015, 26173911
2008, 17920604
2003, 12648174
2004, 106593904. Language: English. Entry Date: 20050318. Revision Date: 20150820. Publication Type: Journal Article
1991, 2014076
1990, 2189393
1996, 8913976
1980, 6106583
1980, 7377255
2018, 30001195
1997, 
2013, 23919853
1996, 8796792
1985, 3855601
2012, 24592052
2009, 19935035
2019, CN-01963682 NEW
2007, 18399337
2010, 
1995, 8610775
2014, 
2007, 17977171
2005, 15916656
2008, 18226128
2000, 10672100
2012, 21728788
2001, 11451546
2002, 12196876
2017, 
2014, 24807327
2016, 27031055
2019, 135775725. Language: English. Entry Date: 20190413. Revision Date: 20190718. Publication Type: Article. Journal Subset: Australia & New Zealand
2012, 22434058
2014, 23564065
2017, 28668289
2005, 16157113
2005, 15733878
2017, 29153691
2006, 
2013, 23983763
1996, 8796770
1992, 1584259
2000, 11044536
1992, 1317643
2012, 22012248
2002, 11966483
2007, 17445817
2016, 27770132
1995, 7781174
1995, 7789590
1983, 6133795
1985, 3885670
2011, CN-00902431
2016, 26850983
2006, 17071427
1994, 8200466
2009, 19656148
2003, 12755242
2013, 23506128
2007, 17326881
2019, 31403122
2008, 21644418
2001, 
2015, 25914416
2006, 106351886. Language: English. Entry Date: 20061027. Revision Date: 20170808. Publication Type: Journal Article
2016, 27549415
2016, 26995147
2010, CN-00889007
1982, 7043341
2003, 12676389
2003, 12527456
1985, 3861138
2011, 20582425
2006, 16580291
2013, 23550856
1993, 8369246
1994, 8290188
2005, 15919393
2012, 
2015, 25275693
2018, 30053490
2014, 25386492
2011, 21272849
2015, 26007264
2009, 
2010, 20430362
1997, 9170463
1993, 8437780
2017, CN-01396788
2015, 24915563
2010, 20008056
1978, 652210
1982, 6755325
1982, 7064013
2019, 30723912
2014, 24397244
2012, 22901981
1998, 9764615
2014, 24633747
2013, 23932182
2000, 
2017, 28056435
2016, 27824758
2016, 26054823
2019, 30284490
2009, 00075320-100000000-00164
1999, 10642965
1994, 8018638
2017, 28624988
1997, 9083326
2000, 10949752
2003, CN-00438814
2003, 12830602
2011, 21748203
2011, 21482368
2018, 28910848
1999, 10368502
2004, 15339772
2000, 11002953
2013, 23857539
2001, 11453262
2015, 25661322
2001, 11728483
2018, 29215514
1995, 7778637
2015, 
1982, 6122848
2015, 25960635
2004, 14678088
1986, 3817264
1994, 
2006, 16885670
2010, 20567177
2001, 11499184
1998, 9794674
1997, 9061387
2015, 25138128
2001, 11641676
2007, 17902524
2010, 20107216
2019, 31148156
2000, 11042301
2008, 18222450
2002, 12375540
1988, 3289398
2018, 29889751
2013, 23356673
1997, 9086420
2005, 15954870
2005, 15738009
2009, 19404900
2017, 27923165
2013, 24222365
1991, 1930035
2011, 21604996
2017, 28901007
1989, 2780762
2018, 30122579
1986, 3523330
1995, 7856707
1995, 7898843
2005, 15814391
1987, 3300135
1992, 1563557
1977, 333515
1995, 7675378
1986, 3524549
2007, 17454463
2002, 12206922
2006, 16580290
1984, 6702916
1986, 3736600
2015, 25692241
2005, 15746667
2003, 14586350
1996, 8694040
1999, 9914578
1999, 10389710
1997, 9322631
1996, 8559529
1999, 10658373
2011, 21429067
2018, 29468633
1987, 3482470
2013, 24635460
2012, 22206748
2007, 17877674
2016, 26774112
2013, 23590451
1996, 
1992, 1346182
2008, 18715244
2010, 20722643
2015, 24824157
2016, 26787644
1997, 9339095
2009, 19624440
2017, 27986461
2014, 23999422
1998, 9731837
2012, 
2007, 17028904
2000, 11004357
2014, 25763391
2000, 11075969
2001, 11275035
1998, 9846707
2010, 20636243
2019, 30790569
1990, 2205188
2017, 28168363
2003, 12548322
1995, 7675376
2003, 12854927
2014, 
2006, 16553177
2004, 14749647
1998, 9464723
2004, 15085496
1993, 8336880
2002, 12175715
2000, 10819821
2012, 22704766
2008, 18771993
1995, 7501332
1993, 8113660
2015, 
2000, 11005114
2001, 11392596
2018, 29211328
2008, 
2003, 12841697
2019, 30989788
2019, 31373898
2002, 11810088
2006, 16828095
1976, 15912
2008, 18752586
2013, 24112746
2001, 
2001, 11704164
2007, 17766600
2008, 18515515
2010, 
1980, 7426497
2007, 16324780
2005, 15694083
1997, 9178148
1980, 6932208
1993, 
2003, 14710100
1998, 
2017, 27928864
2001, 11146073
2001, 11641678
2014, 24397441
2007, 17653880
2014, 25073486
